name,MARKA,KOLEKSIYON,price,price_category,CINSIYET,MEKANIZMA,KASA MATERYALI,case_material_category,KASA ÇAPI,SU REZISTANSI,water_resistance_category,brand_country,brand_age,collection_price_tier,url,image,page,scraped_at,AILE,GARANTI SÜRESI,GÜÇ REZERVI,KADRAN,KAYIŞ,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,REFERANS,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Carrera,Tag Heuer,Carrera,176800.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/tag-heuer-carrera-wbn2110-ba0639/,https://samiwatches.com/wp-content/uploads/2025/02/WBN2110.BA0639-3-300x400.webp,18,2025-10-06T07:41:44.745401,,2 Yıl,38 Saat,Siyah,Paslanmaz Çelik,Carrera,176.800₺,WBN2110.BA0639,,219025.56,179400.0,138288.27,133.0,-0.19278829,0.50658685,-0.3135021,False,35.0,Snorkeling (100m),Premium,39.0,Orta (36-40mm),Prestijli
Aquaracer,Tag Heuer,Aquaracer,221000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-wbp201d-ft6197/,https://samiwatches.com/wp-content/uploads/2023/06/WBP201D.FT6197-1-1-scaled-300x400.webp,18,2025-10-06T07:41:55.554065,,2 Yıl,38 Saat,Beyaz,Kauçuk,Aquaracer,221.000₺,WBP201D.FT6197,,219025.56,179400.0,138288.27,133.0,0.009014637,0.56646705,-0.23351642,False,50.0,Profesyonel Dalış (300m+),Premium,43.0,Büyük (40-44mm),Prestijli
Aquaracer,Tag Heuer,Aquaracer,179400.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-wbp201a-ft6197/,https://samiwatches.com/wp-content/uploads/2023/06/WBP201A.FT6197-1-1-scaled-300x400.webp,18,2025-10-06T07:42:05.904135,,2 Yıl,38 Saat,Siyah,Kauçuk,Aquaracer,179.400₺,WBP201A.FT6197,,219025.56,179400.0,138288.27,133.0,-0.18091753,0.51197606,-0.30879706,False,50.0,Profesyonel Dalış (300m+),Premium,43.0,Büyük (40-44mm),Prestijli
Aquaracer Professional,Tag Heuer,Aquaracer,189800.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-wbp201c-ba0632/,https://samiwatches.com/wp-content/uploads/2023/06/WBP201C.BA0632-1-1-scaled-300x400.webp,18,2025-10-06T07:42:16.328827,,2 Yıl,38 Saat,Gri,Paslanmaz Çelik,Aquaracer Professional,189.800₺,WBP201C.BA0632,,219025.56,179400.0,138288.27,133.0,-0.13343449,0.52395207,-0.28997692,False,50.0,Profesyonel Dalış (300m+),Premium,43.0,Büyük (40-44mm),Prestijli
Formula 1 Chronograph,Tag Heuer,Formula 1,98800.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-caz1010-ft8024/,https://samiwatches.com/wp-content/uploads/2025/02/CAZ1010.FT8024-3-300x400.webp,18,2025-10-06T07:42:26.790527,,2 Yıl,,Siyah,Kauçuk,Formula 1 Chronograph,98.800₺,CAZ1010.FT8024,,219025.56,179400.0,138288.27,133.0,-0.5489111,0.2724551,-0.45465335,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Aquaracer,Tag Heuer,Aquaracer,166400.0,Mid-Range,Kadın,Pilli,Çelik Altın,Gold,32mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-wbd1320-bb0320/,https://samiwatches.com/wp-content/uploads/2023/06/WBD1320.BB0320-1-1-scaled-300x400.webp,18,2025-10-06T07:42:37.089308,,2 Yıl,,Sedef,Çelik Altın,Aquaracer,166.400₺,WBD1320.BB0320,,219025.56,179400.0,138288.27,133.0,-0.24027133,0.48263472,-0.33232227,False,50.0,Profesyonel Dalış (300m+),Orta Segment,32.0,Küçük (<36mm),Prestijli
Aquaracer,Tag Heuer,Aquaracer,179400.0,Mid-Range,Kadın,Otomatik,Paslanmaz Çelik,Steel,36mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-wbp231d-ba0626/,https://samiwatches.com/wp-content/uploads/2023/06/WBP231D.BA0626-1-1-scaled-300x400.webp,18,2025-10-06T07:42:47.590455,,2 Yıl,38 Saat,Siyah,Paslanmaz Çelik,Aquaracer,179.400₺,WBP231D.BA0626,,219025.56,179400.0,138288.27,133.0,-0.18091753,0.51197606,-0.30879706,False,50.0,Profesyonel Dalış (300m+),Premium,36.0,Orta (36-40mm),Prestijli
Formula 1,Tag Heuer,Formula 1,135200.0,Mid-Range,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-caz101ag-ba0842/,https://samiwatches.com/wp-content/uploads/2023/06/CAZ101AG.BA0842-1-1-scaled-300x400.webp,18,2025-10-06T07:42:57.874229,,2 Yıl,,Gri,Paslanmaz Çelik,Formula 1,135.200₺,CAZ101AG.BA0842,,219025.56,179400.0,138288.27,133.0,-0.38272047,0.39401197,-0.38878277,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Formula 1 Chronograph,Tag Heuer,Formula 1,124800.0,Mid-Range,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-caz101ag-fc8304/,https://samiwatches.com/wp-content/uploads/2023/06/CAZ101AG.FC8304-1-1-scaled-300x400.webp,18,2025-10-06T07:43:08.338925,,2 Yıl,,Gri,Tekstil,Formula 1 Chronograph,124.800₺,CAZ101AG.FC8304,,219025.56,179400.0,138288.27,133.0,-0.4302035,0.35449103,-0.40760294,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Formula 1,Tag Heuer,Formula 1,96200.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-waz1010-ba0842/,https://samiwatches.com/wp-content/uploads/2025/02/WAZ1010.BA0842-3-300x400.webp,18,2025-10-06T07:43:16.701216,,2 Yıl,,Mavi,Paslanmaz Çelik,Formula 1,96.200₺,WAZ1010.BA0842,,219025.56,179400.0,138288.27,133.0,-0.56078184,0.26796407,-0.4593584,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Formula 1,Tag Heuer,Formula 1,117000.0,Mid-Range,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-caz101v-ba0842/,https://samiwatches.com/wp-content/uploads/2025/02/CAZ101V.BA0842-3-300x400.webp,18,2025-10-06T07:43:27.105616,,2 Yıl,,Siyah,Paslanmaz Çelik,Formula 1,117.000₺,CAZ101V.BA0842,,219025.56,179400.0,138288.27,133.0,-0.46581578,0.3275449,-0.42171806,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Carrera,Tag Heuer,Carrera,296400.0,Mid-Range,Kadın,Pilli,Paslanmaz Çelik,Steel,39mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/tag-heuer-carrera-war1114-ba0601/,https://samiwatches.com/wp-content/uploads/2023/06/WAR1114.BA0601-1-scaled-300x400.webp,18,2025-10-06T07:43:38.115728,,2 Yıl,,Mavi,Paslanmaz Çelik,Carrera,296.400₺,WAR1114.BA0601,,219025.56,179400.0,138288.27,133.0,0.3532667,0.6523952,-0.09707023,False,35.0,Snorkeling (100m),Premium,39.0,Orta (36-40mm),Prestijli
Formula 1 Chronograph,Tag Heuer,Formula 1,135200.0,Mid-Range,Erkek,Pilli,Paslanmaz Çelik,Steel,43mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-caz101ah-ba0842/,https://samiwatches.com/wp-content/uploads/2025/02/CAZ101AH.BA0842-3-300x400.webp,18,2025-10-06T07:43:51.490520,,2 Yıl,,Gri,Paslanmaz Çelik,Formula 1 Chronograph,135.200₺,CAZ101AH.BA0842,,219025.56,179400.0,138288.27,133.0,-0.38272047,0.39401197,-0.38878277,False,38.0,Dalış (200m),Orta Segment,43.0,Büyük (40-44mm),Prestijli
Aquaracer,Tag Heuer,Aquaracer,200200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,43mm,300m,Diving,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-aquaracer-way201f-ba0927/,https://samiwatches.com/wp-content/uploads/2023/06/WAY201F.BA0927-1-1-scaled-300x400.webp,18,2025-10-06T07:44:02.239766,,2 Yıl,50 Saat,Siyah,Paslanmaz Çelik,Aquaracer,200.200₺,WAY201F.BA0927,,219025.56,179400.0,138288.27,133.0,-0.08595145,0.53712577,-0.27115676,False,50.0,Profesyonel Dalış (300m+),Premium,43.0,Büyük (40-44mm),Prestijli
Formula 1,Tag Heuer,Formula 1,83200.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,41mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-waz1110-ft8023/,https://samiwatches.com/wp-content/uploads/2025/02/WAZ1110.FT8023-3-300x400.webp,18,2025-10-06T07:44:12.714655,,2 Yıl,,Siyah,Kauçuk,Formula 1,83.200₺,WAZ1110.FT8023,,219025.56,179400.0,138288.27,133.0,-0.62013566,0.23383233,-0.4828836,False,38.0,Dalış (200m),Ekonomik,41.0,Büyük (40-44mm),Prestijli
Pilot,Zenith,Diğer Koleksiyonlar,436800.0,Luxury,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-pilot-03-4000-3620-21-i001/,https://samiwatches.com/wp-content/uploads/2023/06/03.4000.362021.I001-1-scaled-jpg-300x400.webp,18,2025-10-06T07:44:21.148723,,2 Yıl,60 Saat,Siyah,Dana Derisi,Pilot,436.800₺,03.4000.3620/21.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.5144096,0.76586825,0.15700199,False,2.0,Snorkeling (100m),Lüks,40.0,Orta (36-40mm),Çok Prestijli
Elite Classic,Zenith,Diğer Koleksiyonlar,343200.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,50m,Water Resistant,Switzerland,159.0,Luxury Collection,https://samiwatches.com/urun/zenith-elite-classic-03-3100-670-01-c922/,https://samiwatches.com/wp-content/uploads/2023/06/03.3100.67001.C922-scaled-jpg-300x400.webp,18,2025-10-06T07:44:31.786828,,2 Yıl,50 Saat,Gümüş,Krokodil,Elite Classic,343.200₺,03.3100.670/01.C922,1865.0,899523.5,634400.0,777656.8,34.0,-0.61846465,0.6997006,-0.012379492,False,2.0,Yüzme (50m),Premium,40.0,Orta (36-40mm),Çok Prestijli
Chronomaster Original,Zenith,Chronomaster,547000.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-original-03-3200-3600-21-c903/,https://samiwatches.com/wp-content/uploads/2023/06/03.3200.360021.C903-1-scaled-jpg-300x400.webp,18,2025-10-06T07:44:42.349434,,2 Yıl,60 Saat,Siyah,Dana Derisi,Chronomaster Original,547.000₺,03.3200.3600/21.C903,1865.0,899523.5,634400.0,777656.8,34.0,-0.3919003,0.83892214,0.35642335,False,17.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Chronomaster Revival El Primero,Zenith,Chronomaster,488800.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,37mm,50m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-revival-el-primero-03-a384-400-21-c815/,https://samiwatches.com/wp-content/uploads/2023/06/03.A384.40021.C815-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:01.268054,,2 Yıl,50 Saat,Beyaz,Krokodil,Chronomaster Revival El Primero,488.800₺,03.A384.400/21.C815,1865.0,899523.5,634400.0,777656.8,34.0,-0.4566012,0.8086826,0.2511028,False,17.0,Yüzme (50m),Lüks,37.0,Orta (36-40mm),Çok Prestijli
Chronomaster Original,Zenith,Chronomaster,576200.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-original-03-3200-3600-69-m3200/,https://samiwatches.com/wp-content/uploads/2023/06/03.3200.360069.M3200-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:11.713911,,2 Yıl,60 Saat,Beyaz,Paslanmaz Çelik,Chronomaster Original,576.200₺,03.3200.3600/69.M3200,1865.0,899523.5,634400.0,777656.8,34.0,-0.35943866,0.852994,0.40926456,False,17.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Submersible Marina Militare Carbotech™,Panerai,Submersible,985800.0,Ultra-Luxury,Erkek,Otomatik,Karbon,Carbon,47mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-submersible-marina-militare-carbotech-47mm-pam02979/,https://samiwatches.com/wp-content/uploads/2023/06/PAM02979-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:22.248841,,8 Yıl,72 Saat,Siyah,Kauçuk,Submersible Marina Militare Carbotech™,985.800₺,PAM02979,1860.0,649664.06,473800.0,466149.7,89.0,0.51739967,0.9317365,1.1504894,False,21.0,Profesyonel Dalış (300m+),Ultra Lüks,47.0,Çok Büyük (>44mm),Çok Prestijli
Defy Skyline,Zenith,Defy,517900.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-skyline-03-9300-3620-21-i001/,https://samiwatches.com/wp-content/uploads/2023/06/03.9300.362021.I001-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:32.456470,,2 Yıl,60 Saat,Siyah,Paslanmaz Çelik,Defy Skyline,517.900₺,03.9300.3620/21.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.42425075,0.8254491,0.30376306,False,12.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Defy Classic Skeleton Fusalp,Zenith,Defy,576200.0,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-classic-skeleton-fusalp-49-9000-670-1-22-r797/,https://samiwatches.com/wp-content/uploads/2023/06/49.9000.670-122.R797-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:47.628196,,2 Yıl,50 Saat,İskelet,Kauçuk,Defy Classic Skeleton Fusalp,576.200₺,49.9000.670-1/22.R797,1865.0,899523.5,634400.0,777656.8,34.0,-0.35943866,0.852994,0.40926456,False,12.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Chronomaster Sport,Zenith,Chronomaster,2.2048e+06,Ultra-Luxury,Erkek,Otomatik,Pembe Altın,Gold,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-sport-18-3101-3600-21-m3100/,https://samiwatches.com/wp-content/uploads/2023/06/18.3101.360021.M3100-1-scaled-jpg-300x400.webp,19,2025-10-06T07:45:58.124611,,2 Yıl,60 Saat,Siyah,Pembe Altın,Chronomaster Sport,2.204.800₺,18.3101.3600/21.M3100,1865.0,899523.5,634400.0,777656.8,34.0,1.4510754,0.9859281,3.3564298,True,17.0,Snorkeling (100m),Ultra Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Submersible Blu Notte,Panerai,Submersible,569500.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-submersible-blu-notte-pam02068/,https://samiwatches.com/wp-content/uploads/2023/06/PAM02068-2-scaled-jpg-300x400.webp,19,2025-10-06T07:46:08.792535,,8 Yıl,72 Saat,Mavi,Paslanmaz Çelik,Submersible Blu Notte,569.500₺,PAM02068,1860.0,649664.06,473800.0,466149.7,89.0,-0.12339307,0.848503,0.39714003,False,21.0,Profesyonel Dalış (300m+),Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Chronomaster Open,Zenith,Chronomaster,576200.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-open-03-3300-3604-69-m3300/,https://samiwatches.com/wp-content/uploads/2023/06/03.3300.360469.M3300-1-scaled-jpg-300x400.webp,19,2025-10-06T07:46:19.435051,,2 Yıl,60 Saat,Gümüş,Paslanmaz Çelik,Chronomaster Open,576.200₺,03.3300.3604/69.M3300,1865.0,899523.5,634400.0,777656.8,34.0,-0.35943866,0.852994,0.40926456,False,17.0,Snorkeling (100m),Lüks,40.0,Orta (36-40mm),Çok Prestijli
Luminor BiTempo,Panerai,Luminor,516900.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,44mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-bitempo-pam01360/,https://samiwatches.com/wp-content/uploads/2023/06/PAM01360-1-scaled-jpg-300x400.webp,19,2025-10-06T07:46:29.617012,,8 Yıl,72 Saat,Siyah,Krokodil,Luminor BiTempo,516.900₺,PAM01360,1860.0,649664.06,473800.0,466149.7,89.0,-0.204358,0.8239521,0.30195343,False,37.0,Profesyonel Dalış (300m+),Lüks,44.0,Büyük (40-44mm),Çok Prestijli
Defy Midnight Borealis,Zenith,Defy,665100.0,Ultra-Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,36mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-midnight-borealis-16-9200-670-34-mi001/,https://samiwatches.com/wp-content/uploads/2023/06/16.9200.67034.MI001-1-scaled-jpg-300x400.webp,19,2025-10-06T07:46:40.107840,,2 Yıl,50 Saat,Çok Renkli,Paslanmaz Çelik,Defy Midnight Borealis,665.100₺,16.9200.670/34.MI001,1865.0,899523.5,634400.0,777656.8,34.0,-0.26060855,0.8790419,0.5701408,False,12.0,Snorkeling (100m),Lüks,36.0,Orta (36-40mm),Çok Prestijli
Chronomaster Open,Zenith,Chronomaster,576200.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-open-03-3300-3604-21-m3300/,https://samiwatches.com/wp-content/uploads/2023/06/03.3300.360421.M3300-1-scaled-jpg-300x400.webp,19,2025-10-06T07:46:50.761251,,2 Yıl,60 Saat,Siyah,Paslanmaz Çelik,Chronomaster Open,576.200₺,03.3300.3604/21.M3300,1865.0,899523.5,634400.0,777656.8,34.0,-0.35943866,0.852994,0.40926456,False,17.0,Snorkeling (100m),Lüks,40.0,Orta (36-40mm),Çok Prestijli
Luminor Due Luna,Panerai,Luminor Due,507300.0,Ultra-Luxury,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-due-luna-pam01301/,https://samiwatches.com/wp-content/uploads/2025/02/PAM01301-2-300x400.webp,19,2025-10-06T07:47:01.347301,,8 Yıl,72 Saat,Beyaz,Paslanmaz Çelik,Luminor Due Luna,507.300₺,PAM01301,1860.0,649664.06,473800.0,466149.7,89.0,-0.21913487,0.8203593,0.28458098,False,17.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Defy Skyline,Zenith,Defy,517900.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-skyline-03-9300-3620-01-i001/,https://samiwatches.com/wp-content/uploads/2023/06/03.9300.362001.I001-1-scaled-jpg-300x400.webp,19,2025-10-06T07:47:11.814103,,2 Yıl,60 Saat,Gümüş,Paslanmaz Çelik,Defy Skyline,517.900₺,03.9300.3620/01.I001,1865.0,899523.5,634400.0,777656.8,34.0,-0.42425075,0.8254491,0.30376306,False,12.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Chronomaster Sport,Zenith,Chronomaster,1.2158e+06,Ultra-Luxury,Erkek,Otomatik,Pembe Altın,Gold,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-sport-18-3100-3600-69-c920/,https://samiwatches.com/wp-content/uploads/2023/06/18.3100.360069.C920-1-scaled-jpg-300x400.webp,19,2025-10-06T07:47:22.228689,,2 Yıl,60 Saat,Beyaz,Dana Derisi,Chronomaster Sport,1.215.800₺,18.3100.3600/69.C920,1865.0,899523.5,634400.0,777656.8,34.0,0.35160443,0.9520958,1.5667046,False,17.0,Snorkeling (100m),Ultra Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Elite Classic,Zenith,Diğer Koleksiyonlar,343200.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,50m,Water Resistant,Switzerland,159.0,Luxury Collection,https://samiwatches.com/urun/zenith-elite-classic-03-3100-670-02-c922/,https://samiwatches.com/wp-content/uploads/2023/06/03.3100.67002.C922-1-scaled-jpg-300x400.webp,19,2025-10-06T07:47:32.668180,,2 Yıl,50 Saat,Mavi,Krokodil,Elite Classic,343.200₺,03.3100.670/02.C922,1865.0,899523.5,634400.0,777656.8,34.0,-0.61846465,0.6997006,-0.012379492,False,2.0,Yüzme (50m),Premium,41.0,Büyük (40-44mm),Çok Prestijli
Submersible Carbotech™,Panerai,Submersible,856600.0,Ultra-Luxury,Erkek,Otomatik,Karbon,Carbon,42mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-submersible-carbotech-pam02231/,https://samiwatches.com/wp-content/uploads/2023/06/PAM02231-1-scaled-jpg-300x400.webp,19,2025-10-06T07:47:43.159445,,8 Yıl,72 Saat,Siyah,Kauçuk,Submersible Carbotech™,856.600₺,PAM02231,1860.0,649664.06,473800.0,466149.7,89.0,0.31852764,0.9164671,0.91668516,False,21.0,Profesyonel Dalış (300m+),Ultra Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Chronomaster Sport,Zenith,Chronomaster,605300.0,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-chronomaster-sport-03-3100-3600-69-c823/,https://samiwatches.com/wp-content/uploads/2023/06/03.3100.360069.C823-1-scaled-jpg-300x400.webp,19,2025-10-06T07:47:54.435854,,2 Yıl,60 Saat,Beyaz,Kauçuk,Chronomaster Sport,605.300₺,03.3100.3600/69.C823,1865.0,899523.5,634400.0,777656.8,34.0,-0.3270882,0.86047906,0.46192482,False,17.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Submersible QuarantaQuattro Goldtech™ OroCarbo,Panerai,Submersible,1.6989e+06,Ultra-Luxury,Erkek,Otomatik,Pembe Altın,Gold,44mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-submersible-quarantaquattro-goldtech-orocarbo-pam02070/,https://samiwatches.com/wp-content/uploads/2023/06/PAM02070-2-scaled-jpg-300x400.webp,19,2025-10-06T07:48:04.783939,,8 Yıl,72 Saat,Siyah,Kauçuk,Submersible QuarantaQuattro Goldtech™ OroCarbo,1.698.900₺,PAM02070,1860.0,649664.06,473800.0,466149.7,89.0,1.6150439,0.9754491,2.4409375,True,21.0,Profesyonel Dalış (300m+),Ultra Lüks,44.0,Büyük (40-44mm),Çok Prestijli
Defy 21,Zenith,Defy,809100.0,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,44mm,100m,Water Resistant,Switzerland,159.0,Ultra-Luxury Collection,https://samiwatches.com/urun/zenith-defy-21-49-9000-9004-78-r582/,https://samiwatches.com/wp-content/uploads/2023/06/49.9000.900478.R582-1-scaled-jpg-300x400.webp,19,2025-10-06T07:48:15.342890,,2 Yıl,50 Saat,İskelet,Krokodil,Defy 21,809.100₺,49.9000.9004/78.R582,1865.0,899523.5,634400.0,777656.8,34.0,-0.10052381,0.91137725,0.83072764,False,12.0,Snorkeling (100m),Ultra Lüks,44.0,Büyük (40-44mm),Çok Prestijli
Submersible QuarantaQuattro Carbotech™ Blu Abisso,Panerai,Submersible,904500.0,Ultra-Luxury,Erkek,Otomatik,Karbon,Carbon,44mm,300m,Diving,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-submersible-quarantaquattro-carbotech-blu-abisso-pam01232/,https://samiwatches.com/wp-content/uploads/2025/02/PAM01232-2-300x400.webp,19,2025-10-06T07:48:25.782476,,8 Yıl,72 Saat,Mavi,Kauçuk,Submersible QuarantaQuattro Carbotech™ Blu Abisso,904.500₺,PAM01232,1860.0,649664.06,473800.0,466149.7,89.0,0.39225805,0.9221557,1.0033665,False,21.0,Profesyonel Dalış (300m+),Ultra Lüks,44.0,Büyük (40-44mm),Çok Prestijli
PRX Powermatic 80,Tissot,T-Classic Collection,39580.0,Budget,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,35mm,100m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-prx-powermatic-80-t137-207-11-111-00/,https://samiwatches.com/wp-content/uploads/2023/07/T137.207.11.111.00-1-scaled-300x400.webp,19,2025-10-06T07:48:36.305918,PRX,2 Yıl,80 Saat,Sedef,Paslanmaz Çelik,PRX Powermatic 80,39.580₺,T137.207.11.111.00,1853.0,30113.854,26090.0,13456.789,288.0,0.3143452,0.13473053,-0.56181973,False,160.0,Snorkeling (100m),Ekonomik,35.0,Küçük (<36mm),Giriş Seviyesi
Luminor Due Goldtech™ Madreperla,Panerai,Luminor Due,952300.0,Ultra-Luxury,Kadın,Otomatik,Pembe Altın,Gold,38mm,50m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-due-goldtech-madreperla-pam01280/,https://samiwatches.com/wp-content/uploads/2025/02/PAM01280-3-300x400.webp,19,2025-10-06T07:48:46.681701,,8 Yıl,72 Saat,Sedef,Krokodil,Luminor Due Goldtech™ Madreperla,952.300₺,PAM01280,1860.0,649664.06,473800.0,466149.7,89.0,0.46583456,0.9269461,1.0898669,False,17.0,Yüzme (50m),Ultra Lüks,38.0,Orta (36-40mm),Çok Prestijli
